DefaultSC.A1ModJulian     DefaultSC.Earth.Altitude   DefaultSC.Earth.ECC       DefaultSC.Earth.RadApo    DefaultSC.Earth.RadPer    DefaultSC.Earth.Latitude   
58127.01952264948         432.5716904255623          0.001502832012343023      6792.25313533194          6771.868539060348         69.1888475678915           
58127.01965444836         432.3748921690258          0.001475217032522765      6792.216079023638         6772.205613107086         68.51301360756199          
58127.0197986473          432.1546117068765          0.001444410065375117      6792.176997037474         6772.583919834737         67.76962157300787          
58127.01998685852         431.8595125894699          0.001403295925832553      6792.12825802124          6773.092239364239         66.79370927990451          
58127.02016774262         431.568079567257           0.001362852935578748      6792.083808994411         6773.595782739697         65.85042657597114          
58127.02035043484         431.2662515476459          0.001321120140912792      6792.041259668077         6774.118732467621         64.89296500860719          
58127.02052081825         430.9782547627628          0.001281432361886347      6792.003665835165         6774.618956565321         63.99615090665486          
58127.02070182944         430.6657130402837          0.001238496690956181      6791.965896967283         6775.163052657396         63.03971738642404          
58127.02088949314         430.334860903542           0.001193186073475738      6791.929055401526         6775.740301275615         62.04451303457023          
58127.02108889497         429.9761057798951          0.001144204171349915      6791.892436607586         6776.367576902168         60.98341206577774          
58127.02127973008         429.6262146566241          0.001096570968309469      6791.859771814638         6776.980575416237         59.96471096793115          
58127.02145996306         429.2902501240524          0.001050952631271352      6791.831006292124         6777.570208380786         58.99999998903395          
58127.02155621427         429.1087616747418          0.001026355079113071      6791.816455752843         6777.889119513599         58.48384557817345          
58127.02165597356         428.9192106936753          0.001000697252744996      6791.801959992534         6778.222473821934         57.94821167788929          
58127.02177990978         428.6817587718442          0.0009686004196991556     6791.784767064926         6778.640447506596         57.28186372697785          
58127.02192691182         428.3974463839959          0.000930232096106483      6791.765523282197         6779.141430060924         56.49027423931455          
58127.02209225556         428.0744340730562          0.0008867197889026756     6791.745331905499         6779.711252787619         55.59842069597733          
58127.02231891289         427.6265955714898          0.0008265221160141746     6791.720074425772         6780.502332443031         54.37345458086261          
58127.02253691724         427.1909815860154          0.0007681023157474174     6791.698322346455         6781.272891725354         53.19284563251537          
58127.02274141512         426.7786213894742          0.0007129147440989714     6791.680084775097         6782.003205825498         52.08340429296991          
58127.02294235199         426.3704781141732          0.0006583931904589521     6791.664116829785         6782.72683026559          50.9915531073648           
58127.02313599682         425.974874963902           0.0006056373204980246     6791.650475404071         6783.428900705175         49.93781261647045          
58127.02336749053         425.4997138388453          0.0005423823182742896     6791.636303085915         6784.272969941729         48.67629558595228          
58127.02372335966         424.7663590585253          0.0004449744064279498     6791.618742511143         6785.577237788853         46.73344444562351          
58127.02405587254         424.0803547959076          0.0003540761873404416     6791.606560271344         6786.798770281739         44.91455767206351          
58127.02437520512         423.4232323564793          0.000267188940834501      6791.598308353698         6787.969997880964         43.16483918712918          
58127.02472000945         422.7181670248638          0.0001741553579682753     6791.592803798166         6789.227631153815         41.272608940801            
58127.02509559449         421.9586571190239          7.421966108072743e-05     6791.590788627696         6790.582724312826         39.20827901439642          
58127.02549114447         421.1722075406915          3.006289738878033e-05     6791.993391948566         6791.585030224286         37.03094680864212          
58127.02584692351         420.4799709047784          0.0001205337397199221     6793.227496562196         6791.590067697763         35.06991878917759          
58127.02619951881         419.8110980048314          0.0002082196907830152     6794.42269131684          6791.593815160889         33.12419524819481          
58127.02660559393         419.0656231803323          0.0003058857432271511     6795.755005585957         6791.598827760155         30.88081374209756          
58127.02699773863         418.3747035485458          0.0003963341755799591     6796.989521437955         6791.603897467982         28.71202790770452          
58127.02745414382         417.6112566318407          0.0004962108036323424     6798.352724872966         6791.609238925576         26.18519146450673          
58127.02776364442         417.1210559778174          0.0005603135403575716     6799.227169665604         6791.612038432483         24.47019524551136          
58127.02814450859         416.5510532997068          0.000634837289699335      6800.242677880809         6791.614060387104         22.35826791177856          
58127.02850049167         416.0537509688647          0.0006998549557657376     6801.127035643743         6791.614088405636         20.38294850928129          
58127.02884932018         415.6017891992851          0.0007589564249257354     6801.92886990711          6791.611964753155         18.44617679332252          
58127.02916795324         415.2211146317623          0.0008087560462320777     6802.602254564308         6791.607854944495         16.67615674870351          
